State,District,Commodity,Date,Arrival Quantity ,Market Price,Price Unit
Telangana,Ranga Reddy,Mango,04-09-2024,502.2,4075,Rs./Quintal
Telangana,Suryapet,Maize,10-12-2025,0,1923.969437,Rs./Quintal
Telangana,Khammam,Cotton,1/26/2025,35.75751014,7199.022244,Rs./Quintal
Telangana,Bhadradri Kothagudem,Cotton,11/19/2024,209.4,7458.45,Rs./Quintal
Telangana,Asifabad,Cotton,02-07-2025,1422.4,7421,Rs./Quintal
Telangana,Ranga Reddy,Karbuja(Musk Melon),08-10-2024,44.66689151,1115.706637,Rs./Quintal
Telangana,Ranga Reddy,Orange,3/28/2025,31.1,3000,Rs./Quintal
Telangana,Ranga Reddy,Karbuja(Musk Melon),05-05-2025,78.5,600,Rs./Quintal
Telangana,Karimnagar,Cotton,05-02-2025,9.1,7500,Rs./Quintal
Andhra Pradesh,NTR,Rice,10-09-2025,45.98900949,4601.407065,Rs./Quintal
Telangana,Warangal,Cotton,12-05-2024,138.9051024,6504.925997,Rs./Quintal
Andhra Pradesh,Dr.B.R.A.Konaseema,Banana,1/23/2025,103,1881.94,Rs./Quintal
Telangana,Sangareddy,Maize,9/24/2024,0.05,2706,Rs./Quintal
Andhra Pradesh,Kurnool,Cotton,6/22/2026,126,9000,Rs./Quintal
Telangana,Bhadradri Kothagudem,Maize,11/23/2024,2698.245843,2311.139123,Rs./Quintal
Telangana,Bhadradri Kothagudem,Water Melon,2/28/2026,26.62525151,759.9732852,Rs./Quintal
Telangana,Jagtial,Maize,03-06-2025,65.16654343,2297.858372,Rs./Quintal
Andhra Pradesh,Tirupathi,Mango,5/17/2026,364.5278526,1494.412441,Rs./Quintal
Andhra Pradesh,NTR,Maize,07-10-2025,45,2300,Rs./Quintal
Telangana,Siddipet,Cotton,12-12-2024,80.32019014,6729.052785,Rs./Quintal
Telangana,Khammam,Cotton,8/24/2025,29.20624126,7722.817751,Rs./Quintal
Andhra Pradesh,Kurnool,Cotton,10/25/2024,1300.261005,7324.851959,Rs./Quintal
Andhra Pradesh,NTR,Maize,07-09-2024,68.1214599,2395.468271,Rs./Quintal
Telangana,Ranga Reddy,Mango,02-06-2025,11.1,5000,Rs./Quintal
