temperature,humidity,rainfall,wind_speed,soil_ph,nitrogen,organic_carbon,clay,sand,silt,cec,season,label
28.75,64.09,150.79,8.72,7.08,66.07,11.78,40.84,28.58,30.58,30.65,Kharif,Cotton
26.13,64.39,105.25,10.52,6.87,76.66,17.85,31.52,42.44,26.04,16.8,Whole Year,Orange
27.22,60.15,141.91,6.13,6.91,61.54,13.41,41.28,29.25,29.47,28.64,Kharif,Cotton
32.94,50.93,91.41,7.64,6.4,65.81,19.31,26.64,47.54,25.82,19.43,Whole Year,Mango
37.06,50.74,62.75,10.17,6.69,68.75,10.72,18.91,62.43,18.66,16.46,Whole Year,Water Melon
26.37,72.85,177.12,6.03,6.62,67.24,25.0,30.18,31.26,38.56,25.0,Whole Year,Banana
30.07,73.93,136.62,7.72,6.57,77.89,23.7,30.72,47.13,22.15,25.28,Whole Year,Papaya
26.49,65.14,121.85,11.71,6.38,76.93,21.33,33.84,41.92,24.24,18.69,Kharif,Maize
22.14,57.49,100.16,4.19,5.8,42.94,18.54,25.75,46.38,27.87,15.79,Rabi,Beans
25.0,64.84,72.28,9.6,6.88,33.79,15.95,32.18,41.99,25.83,19.33,Kharif,Black Gram Dal(Urd Dal)
27.61,56.11,78.58,10.83,6.79,39.48,12.21,29.02,45.56,25.42,16.53,Kharif,Black Gram Dal(Urd Dal)
31.35,51.57,56.11,10.65,6.91,72.03,17.57,17.76,62.74,19.5,8.62,Whole Year,Water Melon
24.34,55.73,55.6,9.03,6.89,52.54,23.2,21.46,53.15,25.39,15.95,Whole Year,Grapes
23.17,71.35,115.28,7.04,6.57,69.48,20.65,23.61,46.62,29.77,18.16,Whole Year,Orange
28.49,52.96,68.19,10.39,6.95,53.33,16.15,28.19,49.13,22.68,14.89,Whole Year,Grapes
30.3,77.28,155.73,8.34,6.85,81.58,24.01,25.56,47.34,27.1,19.55,Whole Year,Papaya
28.21,54.77,78.89,9.82,6.84,37.47,9.31,29.97,42.57,27.46,16.96,Kharif,Black Gram Dal(Urd Dal)
25.85,56.37,136.78,6.94,7.22,59.13,14.82,37.59,28.13,34.28,31.76,Kharif,Cotton
30.0,57.93,111.91,10.97,6.29,84.66,10.59,30.05,45.5,24.45,21.71,Whole Year,Mango
29.61,45.73,37.37,10.89,6.73,80.45,18.13,19.32,58.15,22.53,10.53,Whole Year,Water Melon
23.93,59.57,105.0,9.41,6.74,68.14,18.16,23.74,47.45,28.81,19.35,Whole Year,Orange
24.83,51.44,65.19,9.26,6.74,54.69,16.44,26.03,49.75,24.22,16.65,Whole Year,Grapes
27.37,75.19,162.54,12.04,7.03,97.31,25.0,32.8,31.47,35.73,24.51,Kharif,Rice
27.46,57.41,75.1,8.35,7.13,76.93,25.0,30.26,40.67,29.07,20.17,Whole Year,Pomegranate
26.51,54.21,133.8,8.9,7.22,54.83,16.62,38.87,28.29,32.84,31.63,Kharif,Cotton
29.37,58.45,47.91,8.99,6.65,68.21,16.62,16.96,61.48,21.56,13.04,Whole Year,Karbuja(Musk Melon)
32.31,50.34,52.33,11.24,6.56,69.41,11.63,18.75,61.91,19.34,14.5,Whole Year,Karbuja(Musk Melon)
19.73,68.89,116.35,6.67,6.8,60.55,20.68,26.43,48.61,24.96,13.24,Whole Year,Orange
28.07,75.05,176.74,10.59,6.78,78.13,25.0,30.92,33.97,35.11,17.99,Kharif,Rice
23.33,56.97,78.13,9.66,6.66,49.97,10.8,25.44,49.41,25.15,19.16,Whole Year,Grapes
28.92,76.39,149.96,9.96,6.81,90.84,24.23,32.91,36.81,30.28,29.03,Kharif,Rice
28.12,59.79,126.95,10.1,6.88,63.28,17.84,35.52,34.92,29.56,31.33,Kharif,Cotton
28.87,67.97,87.89,8.85,6.59,44.26,16.02,29.52,41.67,28.81,17.33,Kharif,Black Gram Dal(Urd Dal)
23.35,64.98,95.73,9.05,6.63,65.0,19.75,26.77,47.75,25.48,20.29,Whole Year,Orange
24.89,57.91,93.22,7.96,6.64,36.45,14.01,28.53,44.53,26.94,13.41,Rabi,Beans
29.74,52.33,62.19,11.73,7.07,71.13,13.21,19.63,60.89,19.48,12.71,Whole Year,Water Melon
26.13,57.46,120.69,7.92,6.17,76.39,6.4,30.71,43.42,25.87,21.08,Kharif,Maize
26.4,59.47,65.93,10.23,7.25,63.44,25.0,30.15,38.89,30.96,21.16,Whole Year,Pomegranate
28.12,81.9,172.66,7.47,6.67,64.77,16.79,26.98,35.2,37.82,27.15,Kharif,Rice
26.45,79.83,164.37,10.41,6.13,92.84,25.0,31.78,34.15,34.07,22.35,Whole Year,Banana
24.4,57.94,127.53,8.73,6.93,72.26,7.91,38.0,38.59,23.41,20.63,Kharif,Maize
31.23,48.28,50.5,10.31,6.5,69.38,14.77,20.64,60.35,19.01,14.38,Whole Year,Karbuja(Musk Melon)
32.35,78.55,131.01,10.22,6.64,79.3,20.17,30.36,43.64,26.0,18.68,Whole Year,Papaya
24.27,57.13,117.88,9.74,6.68,81.19,15.29,25.96,52.17,21.87,17.91,Whole Year,Orange
31.99,63.54,97.3,6.44,6.42,76.37,22.13,30.98,47.14,21.88,20.47,Whole Year,Mango
35.4,55.82,60.83,12.66,6.76,69.92,15.44,17.85,60.03,22.12,13.16,Whole Year,Water Melon
27.48,67.9,175.88,8.89,6.65,82.4,22.12,28.14,48.5,23.36,19.75,Whole Year,Papaya
31.64,51.52,110.87,8.65,6.44,83.1,20.38,24.9,41.92,33.18,18.09,Whole Year,Mango
29.65,56.83,88.7,11.8,7.1,63.87,25.0,32.64,37.27,30.09,21.29,Whole Year,Pomegranate
28.6,74.58,172.43,10.64,6.59,77.54,25.0,24.64,35.39,39.97,26.93,Whole Year,Banana
31.92,52.67,60.46,11.96,6.88,79.54,11.67,17.58,61.46,20.96,12.59,Whole Year,Water Melon
